sum(pt.tran_amount)	name	longitude	latitude
551846	(Private) AIA Tampines	103.94188607228403	1.354690685915039
0	(Private) Bedok Transport Pte Ltd	103.97248991697144	1.3828265896517034
340532	(Private) BluWaters 2 Condo	103.96415514602953	1.380317257962765
247784	(Private) CCL Design	103.80906821330125	1.453494471706218
241814	(Private) Currency House 	103.79274585270878	1.2752260957801398
0	(Private) DHL Depot ESC	0	0
0	(Private) DHL Depot SAH	0	0
0	(Private) DHL Depot WSC	0	0
0	(Private) DHL Depot XSC	0	0
8919	(Private) Eastwood Regency	103.95750033760245	1.3214336427938405
2456945	(Private) EVOne [ TYJ ]	103.80239487550617	1.4637461445664657
0	(Private) EVOne [DB Schenker ALPS]	104.00168231753318	1.3798354944448066
0	(Private) EVOne [DB Schenker Changi]	103.96112385193791	1.3311589249340967
0	(Private) EVOne [DHL Changi]	103.96482433933005	1.331538642057613
627340	(Private) EVOne [DHL Greenwich]	103.90623155402989	1.363642363167276
2163656	(Private) EVOne [DSO]	103.78694104976158	1.2894386071813237
0	(Private) EVOne [Jurong Christian Church]	103.72201960231756	1.3363509911325036
12975	(Private) EVOne [KLN Logistics Tampines]	103.90826961195363	1.3686720083125776
0	(Private) EVOne [Malca Amit]	103.9082676177922	1.3686774443309457
0	(Private) EVOne [SATS]	103.99597266613522	1.3802747269458275
195036	(Private) EVOne [Sulisam Investments]	103.88702899911938	1.3349624023113726
484259	(Private) Holt Residences	103.826138	1.294187
152641	(Private) Katoen Natie (Jurong)	103.6774862871294	1.2613469903889933
104249	(Private) Kovan Residences	0	0
0	(Private) Linde Material Handling APAC	103.96885989742802	1.371007155795798
1891922	(Private) MAS Building	103.84697232599603	1.2752544811485453
1028724	(Private) N	103.836978	1.310349
72989	(Private) Novena Regency	103.8417736	1.3213775393484188
622482	(Private) One Leicester 	103.86710808465645	1.3303570302279593
259434	(Private) One Robin	103.82894610740483	1.3200534070276817
394811	(Private) Parc Stevens	103.82755945664898	1.3170170914617028
0	(Private) Red Cross House	103.8445127553177	1.2974027974906654
0	(Private) Shinryo Site Office	103.7189095427555	1.3562157085742768
0	(Private) Soitec Microelectronics	103.93102259538158	1.381406421596584
2984046	(Private) ST Elec Hub	103.84915533861415	1.3919966564264437
2878121	(Private) ST Engineering Hub AMK	103.84780254147661	1.3900614638856452
1937111	(Private) ST Land Systems JBL	103.71183016273407	1.3399130391429772
222456	(Private) State Courts of Singapore	103.843351665886	1.2863116248845983
2618983	(Private) STEngg JE Hub	103.74384713205646	1.3364158748243924
1169628	(Private) STEngg Marine Benoi	103.6789357	1.3015906
20124	(Private) STEngg Marine Gul Rd	103.67191757611862	1.2947431637414661
2389553	(Private) Sunglade Condo	103.87127420110647	1.3489694234117233
83783	(Private) Tan Tock Meng Tower	103.84171300253124	1.327691721663352
1197923	(Private) The Waterline	103.8765872	1.3674268
0	(Private) Tower Transit Singapore Pte Ltd	103.82763434065829	1.2512377297115733
0	(Private) Tower Transit Singapore Pte Ltd 2	103.82035363775123	1.2538349766226278
0	(Private) UEEPL	0	0
4173305	(Private) Varsity Park Condo	103.76741259981023	1.294502607563205
0	(Private) Wartsila Singapore	103.75848084006509	1.3015146515834721
0	(Private) YCH Tuas	0	0
499394	AIA Alexandra	103.80251742500975	1.2847126119336219
113732	AIA Tower	0	0
5198170	EVOne [ Aste Global ]	103.63841	1.3335
4591725	EVOne [ DArena ]	103.682205	1.32955
8896435	EVOne [ Jalan Pemimpin ]	103.8407688	1.3501557
7731515	EVOne [ Pioneer Center ]	103.6974792406753	1.3330440572084405
5488312	EVOne [ StorHub Jurong East ]	103.74983383477922	1.3391211861550953
15704317	EVOne [ StorHub Marsiling ]	103.77644077555374	1.4454029211238875
111432	EVOne [ Toh Guan #111 ]	103.7544479205033	1.3370922843925113
8895380	EVOne [ Toh Guan #150 ]	103.75339498465682	1.3368597442366437
27068292	EVOne [Cnergy]	103.7590403	1.3345259
291144	EVOne [Harvest Woodlands]	103.79174771291312	1.4507764517172366
272357	EVOne [SIA Airline House]	103.99727135695498	1.3772045525060523
167690	EVOne [SIA Training Center]	103.966095	1.3457544370617327
14925252	EVOne [StorHub Changi]	103.96969489434542	1.3366113511910231
401	GoParkin Testing	0	0
254752	LTA - Corporate HQ	103.847991	1.308739
42636	LTA - Sin Ming Office	103.837021	1.357473
6083894	Natural Cool Defu	103.89063074441323	1.350309464269262
1232696	NTU EV [ Car Park A ]	103.6810664	1.345912
767751	NTU EV [ Car Park B ]	103.681122	1.3438
191689	NTU EV [ Car Park Crescent ]	103.6865	1.35428
698872	NTU EV [ Car Park D ]	103.67897415765405	1.3469596450417083
217859	NTU EV [ Car Park North Hill ]	103.68795	1.35405
2383880	NTU EV [ Car Park Q ]	103.682544	1.34423
390884	NTU EV [ Car Park SBS ]	103.678933	1.3448
263167	NTU EV [LKC Medicine]	103.84868142414162	1.321758581892503
127667	NTU EV [One North]	103.7897087662177	1.3038371540233242
604342	Regent Grove	103.74941211949317	1.4000523612065918
382846	TOYOGO HQ	103.8595135	1.3399104
17497693	Union Gas [ Defu Lane ]	103.89085993253195	1.350648319392367
50849	YCH Bulim	103.70934593956001	1.3536174480680774
